,Date,MIA,SAN,MSP,LAS
0,2008-02-29,267850.0,580000.0,218239.0,268000.0
1,2008-03-31,268000.0,572000.0,220000.0,260000.0
2,2008-04-30,263800.0,575000.0,222000.0,259183.0
3,2008-05-31,265000.0,569500.0,220000.0,260000.0
4,2008-06-30,265158.0,540000.0,219000.0,255000.0
5,2008-07-31,265000.0,540000.0,220500.0,250400.0
6,2008-08-31,265000.0,500000.0,220000.0,243061.0
7,2008-09-30,244175.0,455000.0,212000.0,240000.0
8,2008-10-31,239000.0,435000.0,206000.0,236103.0
9,2008-11-30,228000.0,399500.0,201000.0,225000.0
10,2008-12-31,229250.0,372500.0,203000.0,225000.0
11,2009-01-31,205000.0,329000.0,194000.0,209638.0
12,2009-02-28,200000.0,340000.0,187000.0,204200.0
13,2009-03-31,192000.0,340000.0,185000.0,200000.0
14,2009-04-30,180000.0,370000.0,180000.0,192000.0
15,2009-05-31,185750.0,406000.0,189950.0,190000.0
16,2009-06-30,197000.0,435000.0,190000.0,180000.0
17,2009-07-31,200000.0,429000.0,195000.0,176821.0
18,2009-08-31,190000.0,420900.0,190000.0,170000.0
19,2009-09-30,187800.0,430000.0,190000.0,170000.0
20,2009-10-31,180000.0,424500.0,185000.0,160411.0
21,2009-11-30,179000.0,425000.0,183966.0,162982.0
22,2009-12-31,180000.0,415000.0,184139.0,155000.0
23,2010-01-31,167000.0,375000.0,174900.0,149900.0
24,2010-02-28,160000.0,385000.0,179000.0,150000.0
25,2010-03-31,165000.0,412000.0,185000.0,150000.0
26,2010-04-30,156500.0,420000.0,185000.0,150000.0
27,2010-05-31,170000.0,450000.0,182462.0,147915.0
28,2010-06-30,172000.0,455000.0,194100.0,150148.0
29,2010-07-31,170000.0,459000.0,204000.0,143000.0
30,2010-08-31,168000.0,443850.0,199900.0,145000.0
31,2010-09-30,165000.0,435000.0,193000.0,148000.0
32,2010-10-31,165000.0,427000.0,192000.0,140000.0
33,2010-11-30,160000.0,425000.0,185000.0,145000.0
34,2010-12-31,160000.0,405000.0,189900.0,145000.0
35,2011-01-31,150000.0,360000.0,180000.0,135000.0
36,2011-02-28,150000.0,370000.0,169900.0,138040.0
37,2011-03-31,140000.0,408000.0,170000.0,134550.0
38,2011-04-30,150000.0,397000.0,171000.0,135000.0
39,2011-05-31,160000.0,415000.0,176000.0,135000.0
40,2011-06-30,160000.0,428500.0,180000.0,133500.0
41,2011-07-31,160000.0,409000.0,180000.0,140000.0
42,2011-08-31,158000.0,400000.0,177775.0,135000.0
43,2011-09-30,150000.0,390000.0,168900.0,134945.0
44,2011-10-31,149000.0,370000.0,165000.0,135000.0
45,2011-11-30,150000.0,380000.0,162500.0,134000.0
46,2011-12-31,152500.0,361500.0,160000.0,131000.0
47,2012-01-31,145000.0,330000.0,157344.0,128000.0
48,2012-02-29,148000.0,340000.0,153700.0,130000.0
49,2012-03-31,145000.0,380000.0,162819.0,130000.0
50,2012-04-30,152500.0,415000.0,167500.0,133323.0
51,2012-05-31,160000.0,450000.0,175000.0,137000.0
52,2012-06-30,170000.0,460000.0,182000.0,138000.0
53,2012-07-31,170000.0,460000.0,187500.0,138250.0
54,2012-08-31,170000.0,435000.0,188000.0,144685.0
55,2012-09-30,170000.0,438000.0,185000.0,146155.0
56,2012-10-31,166000.0,444000.0,180000.0,145000.0
57,2012-11-30,171000.0,467000.0,180000.0,152550.0
58,2012-12-31,175000.0,455000.0,179426.0,155000.0
59,2013-01-31,170000.0,410000.0,169063.0,159900.0
60,2013-02-28,168000.0,430500.0,165970.0,160000.0
61,2013-03-31,175000.0,500000.0,180000.0,166742.0
62,2013-04-30,185000.0,562000.0,184219.0,172000.0
63,2013-05-31,195400.0,585000.0,195000.0,175000.0
64,2013-06-30,205050.0,605000.0,207482.0,178000.0
65,2013-07-31,210000.0,590000.0,210500.0,181000.0
66,2013-08-31,215000.0,560000.0,210000.0,189461.0
67,2013-09-30,205000.0,550000.0,205000.0,188000.0
68,2013-10-31,200000.0,566600.0,205000.0,188900.0
69,2013-11-30,210000.0,562250.0,204000.0,191956.0
70,2013-12-31,210000.0,540000.0,205000.0,190000.0
71,2014-01-31,200000.0,527000.0,200000.0,192700.0
72,2014-02-28,195000.0,544250.0,198000.0,195000.0
73,2014-03-31,210000.0,592000.0,200000.0,193000.0
74,2014-04-30,207000.0,625000.0,205000.0,190000.0
75,2014-05-31,229000.0,622000.0,212000.0,195000.0
76,2014-06-30,235000.0,634000.0,222000.0,199000.0
77,2014-07-31,237750.0,634000.0,216363.0,197745.0
78,2014-08-31,230000.0,634000.0,220000.0,205000.0
79,2014-09-30,225000.0,610000.0,210000.0,207000.0
80,2014-10-31,230000.0,618000.0,210000.0,205000.0
81,2014-11-30,232000.0,605000.0,211000.0,211150.0
82,2014-12-31,235000.0,591000.0,211109.0,211000.0
83,2015-01-31,229000.0,572250.0,201500.0,205000.0
84,2015-02-28,228500.0,600000.0,207950.0,210000.0
85,2015-03-31,235000.0,650000.0,216000.0,209000.0
86,2015-04-30,232000.0,665000.0,222000.0,210363.0
87,2015-05-31,245000.0,677247.0,225000.0,215000.0
88,2015-06-30,250000.0,672000.0,229000.0,222000.0
89,2015-07-31,250000.0,660000.0,227698.0,219938.0
90,2015-08-31,245000.0,650000.0,226300.0,224000.0
91,2015-09-30,240000.0,635000.0,224900.0,225000.0
92,2015-10-31,235000.0,640500.0,217045.0,221500.0
93,2015-11-30,235000.0,672000.0,226550.0,230000.0
94,2015-12-31,250000.0,652000.0,224000.0,224000.0
95,2016-01-31,238000.0,630082.0,216500.0,220000.0
96,2016-02-29,236500.0,647000.0,220000.0,224950.0
97,2016-03-31,239000.0,650000.0,222000.0,220000.0
98,2016-04-30,242500.0,700750.0,229626.0,225000.0
99,2016-05-31,250000.0,725000.0,236000.0,227000.0
100,2016-06-30,260000.0,745000.0,240000.0,220000.0
101,2016-07-31,256000.0,720000.0,238450.0,219000.0
102,2016-08-31,252200.0,684000.0,239000.0,224000.0
103,2016-09-30,257500.0,665000.0,232848.0,225000.0
104,2016-10-31,255000.0,700000.0,234900.0,222500.0
105,2016-11-30,255000.0,700000.0,235000.0,230000.0
106,2016-12-31,260000.0,680000.0,229900.0,229100.0
107,2017-01-31,250000.0,640000.0,225900.0,240634.0
108,2017-02-28,250000.0,685250.0,226000.0,245000.0
109,2017-03-31,257500.0,732000.0,235050.0,245000.0
110,2017-04-30,260100.0,780000.0,243224.0,248500.0
111,2017-05-31,264000.0,770000.0,246000.0,250000.0
112,2017-06-30,280000.0,775000.0,255515.0,255000.0
113,2017-07-31,272000.0,760000.0,250000.0,260000.0
114,2017-08-31,275000.0,750000.0,254747.0,260000.0
115,2017-09-30,270000.0,740000.0,248659.0,265000.0
116,2017-10-31,260000.0,779000.0,243000.0,264000.0
117,2017-11-30,270000.0,789500.0,246000.0,265000.0
118,2017-12-31,272000.0,750000.0,249900.0,275000.0
119,2018-01-31,265000.0,705250.0,242121.0,266000.0
120,2018-02-28,265000.0,765000.0,250000.0,275000.0
121,2018-03-31,278500.0,825000.0,256975.0,278044.0
122,2018-04-30,275000.0,849000.0,257900.0,285000.0
123,2018-05-31,282000.0,860000.0,265000.0,288000.0
124,2018-06-30,290000.0,870000.0,265000.0,287461.0
125,2018-07-31,283000.0,835000.0,265000.0,285000.0
126,2018-08-31,280000.0,800000.0,264950.0,289000.0
127,2018-09-30,280000.0,782500.0,264900.0,299931.0
128,2018-10-31,280000.0,825000.0,265000.0,295000.0
129,2018-11-30,282000.0,800000.0,268000.0,298000.0
130,2018-12-31,282650.0,769000.0,264900.0,302000.0
131,2019-01-31,271750.0,720000.0,260000.0,300000.0
132,2019-02-28,277500.0,780000.0,262944.0,299999.0
133,2019-03-31,290000.0,801000.0,277000.0,300000.0
134,2019-04-30,282000.0,850000.0,276900.0,298000.0
135,2019-05-31,288788.0,855000.0,283950.0,295000.0
136,2019-06-30,297500.0,855000.0,286000.0,299990.0
137,2019-07-31,299000.0,808100.0,282000.0,300000.0
138,2019-08-31,295000.0,800000.0,285000.0,306500.0
139,2019-09-30,292000.0,781000.0,279900.0,310000.0
140,2019-10-31,298000.0,828940.0,279900.0,305000.0
141,2019-11-30,305000.0,819613.0,282000.0,309000.0
142,2019-12-31,300000.0,800000.0,280000.0,309380.0
143,2020-01-31,295000.0,765000.0,271476.0,301315.0
144,2020-02-29,296000.0,780000.0,280000.0,312250.0
145,2020-03-31,306000.0,825000.0,295506.0,310975.0
146,2020-04-30,312500.0,849500.0,300000.0,305000.0
147,2020-05-31,312000.0,835000.0,295950.0,315000.0
148,2020-06-30,320000.0,860000.0,302000.0,323451.0
149,2020-07-31,325000.0,895000.0,310000.0,319000.0
150,2020-08-31,330000.0,901000.0,315000.0,320000.0
151,2020-09-30,330000.0,900000.0,308000.0,320000.0
152,2020-10-31,330000.0,899000.0,311000.0,320000.0
153,2020-11-30,330000.0,905000.0,310000.0,325000.0
154,2020-12-31,330000.0,870000.0,305000.0,325000.0
155,2021-01-31,335000.0,842000.0,300000.0,322000.0
156,2021-02-28,340000.0,900000.0,309900.0,330000.0
157,2021-03-31,345000.0,960000.0,324900.0,339000.0
158,2021-04-30,350000.0,1057000.0,335000.0,345000.0
159,2021-05-31,358000.0,1076000.0,340000.0,357000.0
160,2021-06-30,362250.0,1050000.0,345724.0,365000.0
161,2021-07-31,365000.0,1050000.0,348500.0,374000.0
162,2021-08-31,367750.0,1000000.0,350000.0,375000.0
